"batch code","trace code","key code",url1,url2
MAL0083,YPPPXU9NN,79WUHVYKZ,https://seal-trace.com/?t=YPPPXU9NN,https://seal-trace.com/?t=YPPPXU9NN&k=79WUHVYKZ
MAL0083,V9HRVSPWH,4DCDUN62D,https://seal-trace.com/?t=V9HRVSPWH,https://seal-trace.com/?t=V9HRVSPWH&k=4DCDUN62D
MAL0083,FRNNSKKWH,ATZ76KNSK,https://seal-trace.com/?t=FRNNSKKWH,https://seal-trace.com/?t=FRNNSKKWH&k=ATZ76KNSK
MAL0083,7KZJMWLA2,PYMW7D3C6,https://seal-trace.com/?t=7KZJMWLA2,https://seal-trace.com/?t=7KZJMWLA2&k=PYMW7D3C6
MAL0083,34U4ZLPAN,6PTXFHWK9,https://seal-trace.com/?t=34U4ZLPAN,https://seal-trace.com/?t=34U4ZLPAN&k=6PTXFHWK9
MAL0083,V2WN4AP3T,KEW6RP4MH,https://seal-trace.com/?t=V2WN4AP3T,https://seal-trace.com/?t=V2WN4AP3T&k=KEW6RP4MH
MAL0083,EMHF2KACS,2HXXKYH7N,https://seal-trace.com/?t=EMHF2KACS,https://seal-trace.com/?t=EMHF2KACS&k=2HXXKYH7N
MAL0083,KD4F7PDAP,DC6PHNMN7,https://seal-trace.com/?t=KD4F7PDAP,https://seal-trace.com/?t=KD4F7PDAP&k=DC6PHNMN7
MAL0083,76NKU9MNF,XKR7YUWYD,https://seal-trace.com/?t=76NKU9MNF,https://seal-trace.com/?t=76NKU9MNF&k=XKR7YUWYD
MAL0083,FMHHEX45Z,JPSCJYKXN,https://seal-trace.com/?t=FMHHEX45Z,https://seal-trace.com/?t=FMHHEX45Z&k=JPSCJYKXN
MAL0083,7RD7TM9Z3,EZCU9LTTP,https://seal-trace.com/?t=7RD7TM9Z3,https://seal-trace.com/?t=7RD7TM9Z3&k=EZCU9LTTP
MAL0083,7N7W29CMS,4CNWKTDYT,https://seal-trace.com/?t=7N7W29CMS,https://seal-trace.com/?t=7N7W29CMS&k=4CNWKTDYT
MAL0083,CYFEV6TR4,V5HHTSUWX,https://seal-trace.com/?t=CYFEV6TR4,https://seal-trace.com/?t=CYFEV6TR4&k=V5HHTSUWX
MAL0083,J4XR2JKZA,ZNAERTXST,https://seal-trace.com/?t=J4XR2JKZA,https://seal-trace.com/?t=J4XR2JKZA&k=ZNAERTXST
MAL0083,HL4P2LDPM,W9PDL3Z7J,https://seal-trace.com/?t=HL4P2LDPM,https://seal-trace.com/?t=HL4P2LDPM&k=W9PDL3Z7J
MAL0083,YWLE9XNTH,F564NC2FJ,https://seal-trace.com/?t=YWLE9XNTH,https://seal-trace.com/?t=YWLE9XNTH&k=F564NC2FJ
MAL0083,WRMCF3DY4,NRA2S63X3,https://seal-trace.com/?t=WRMCF3DY4,https://seal-trace.com/?t=WRMCF3DY4&k=NRA2S63X3
